   0  0      57.22757   -1.04763 -227.95092
      1       0.86104    0.45313    0.23083
      2       0.46824   -0.88352   -0.01224
      3       0.19839    0.11862   -0.97292
   1  0      83.39670   50.84735 -213.76361
      1       0.12271   -0.92467    0.36046
      2      -0.97288   -0.04031    0.22779
      3      -0.19610   -0.37863   -0.90454
   2  0     112.78400   -5.46413 -206.11951
      1      -0.69665    0.52311    0.49095
      2       0.58740    0.80880   -0.02827
      3      -0.41187    0.26869   -0.87073
   3  0      18.68065   54.10292 -227.95092
      1      -0.17925    0.98030    0.08297
      2       0.96359    0.15793    0.21575
      3       0.19839    0.11862   -0.97292
   4  0     -22.58770   95.02767 -213.76361
      1       0.96318   -0.24740   -0.10525
      2      -0.18393   -0.89187    0.41320
      3      -0.19610   -0.37863   -0.90454
   5  0      40.04888  105.57544 -206.11951
      1      -0.77393   -0.60757    0.17860
      2      -0.48104    0.74744    0.45819
      3      -0.41187    0.26869   -0.87073
   6  0     -45.68230   34.48507 -227.95092
      1      -0.97182    0.15273   -0.17955
      2       0.12729    0.98112    0.14558
      3       0.19839    0.11862   -0.97292
   7  0     -97.35667    7.88298 -213.76361
      1       0.47257    0.77177   -0.42550
      2       0.85920   -0.51089    0.02759
      3      -0.19610   -0.37863   -0.90454
   8  0     -88.03243   70.71335 -206.11951
      1       0.21834   -0.89861   -0.38057
      2      -0.88470   -0.34686    0.31144
      3      -0.41187    0.26869   -0.87073
   9  0     -46.91387  -32.78997 -227.95092
      1      -0.42137   -0.88591   -0.19394
      2      -0.88492    0.44844   -0.12577
      3       0.19839    0.11862   -0.97292
  10  0     -37.58202  -90.15572 -213.76361
      1      -0.67112    0.72438   -0.15773
      2       0.71495    0.57612   -0.39615
      3      -0.19610   -0.37863   -0.90454
  11  0     -94.45591  -61.87220 -206.11951
      1       0.90887    0.05220   -0.41380
      2      -0.06573   -0.96181   -0.26570
      3      -0.41187    0.26869   -0.87073
  12  0      16.68793  -54.75040 -227.95092
      1       0.71140   -0.70025    0.05969
