   0  0      56.97854    5.43499  227.95092
      1       0.89443    0.38401    0.22921
      2      -0.40080    0.91568    0.02992
      3      -0.19839   -0.11862    0.97292
   1  0      87.05186  -44.29938  213.76362
      1       0.04771   -0.92504    0.37687
      2       0.97942   -0.03075   -0.19946
      3       0.19610    0.37863    0.90454
   2  0     112.03240   14.10070  206.11951
      1      -0.64954    0.58362    0.48734
      2      -0.63911   -0.76629    0.06585
      3       0.41187   -0.26869    0.87073
   3  0      12.43835   55.86931  227.95092
      1       0.65758   -0.75219    0.04238
      2       0.72680    0.64818    0.22723
      3      -0.19839   -0.11862    0.97292
   4  0      69.03172   69.10198  213.76362
      1      -0.91674   -0.25661    0.30616
      2       0.34803   -0.88926    0.29679
      3       0.19610    0.37863    0.90454
   5  0      21.20935  110.90650  206.11951
      1       0.40712    0.90913    0.08797
      2      -0.81524    0.31826    0.48383
      3       0.41187   -0.26869    0.87073
   6  0     -49.29121   29.09414  227.95092
      1      -0.48802   -0.84889   -0.20302
      2       0.84999   -0.51508    0.11052
      3      -0.19839   -0.11862    0.97292
   7  0     -44.38792   87.00675  213.76362
      1      -0.61429    0.76644   -0.18765
      2      -0.76433   -0.51885    0.38288
      3       0.19610    0.37863    0.90454
   8  0     -98.92430   54.44328  206.11951
      1       0.90115   -0.02174   -0.43297
      2       0.13527    0.96298    0.23317
      3       0.41187   -0.26869    0.87073
   9  0     -42.90200  -37.88814  227.95092
      1      -0.95919    0.22755   -0.16785
      2      -0.20148   -0.96651   -0.15893
      3      -0.19839   -0.11862    0.97292
  10  0     -96.46496  -15.32885  213.76362
      1       0.53709    0.73030   -0.42213
      2      -0.82041    0.56860   -0.06015
      3       0.19610    0.37863    0.90454
  11  0     -82.34793  -77.25870  206.11951
      1       0.14982   -0.92257   -0.35556
      2       0.89884    0.27690   -0.33972
      3       0.41187   -0.26869    0.87073
  12  0      22.77632  -52.51030  227.95092
      1      -0.10479    0.98953    0.09928
      2      -0.97450   -0.08226   -0.20874
      3      -0.19839   -0.11862    0.97292
